"politician_name";"party_name_short";"party_name";"lrgen";"lrecon";"galtan"
"frits bolkestein";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"nilüfer gündogan";"Volt";"Volt Nederland";4.5454545;4.6999998;1.0909091
"tanja haseloop-amsing";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"kauthar bouchallikht";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"chris stoffer";"SGP";"Staatkundig Gereformeerde Partij";8.0;7.1999998;9.416667
"ankie van tatenhove";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"nicki pouw-verweij";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"derk jan eppink";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"munish ramlal";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"femke wiersma";"BBB";"BoerBurgerBeweging";7.75;7.0;7.6666665
"eric ter keurs";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"farid azarkan";"DENK";"DENK";3.8888888;3.5999999;6.2857141
"jaap de hoop scheffer";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"linda voortman";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"katinka eikelenboom";"GL-PvdA";"GroenLinks";2.840909090909091;2.784090931818182;2.053030287727273
"dijkstal";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"ernst van der beugel";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"christianne van der wal-zeggelink";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"charlie aptroot";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"tom berendsen";"CDA";"Christen-Democratisch Appèl";5.75;5.75;6.5
"wim kok";"GL-PvdA";"Partij van de Arbeid";2.840909090909091;2.784090931818182;2.053030287727273
"sjoerd sjoerds";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"cu-kamerlid ceder";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"";"NSC";"Nieuw Sociaal Contract";6.5833335;6.0;6.6666665
"";"CDA";"Christen Democratisch Appèl";5.75;5.75;6.5
"";"VVD";"Volkspartij voor Vrijheid en Democratie";7.6666665;7.6666665;5.9166665
"";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"cu";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"";"SGP";"Staatkundig Gereformeerde Partij";8.0;7.1999998;9.416667
"ollongren";"D66";"Democraten 66";4.6666665;5.5;1.3333334
"schouten";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
"";"CU";"ChristenUnie";4.5833335;4.3333335;6.9166665
